Date,Packet loss (%),Round trip (ms)
24/03/2011,0.743055555555556,56.8989402777776
06/04/2011,3.64583333333333,145.032621527778
29/03/2011,0.791666666666667,80.7421680555556
07/04/2011,0.638888888888889,146.79325625
30/03/2011,0.854166666666667,156.694224305555
12/04/2011,0.173410404624277,142.949358381503
04/04/2011,0.4375,133.3421
13/04/2011,75.0,43.00425
27/03/2011,0.0694444444444444,56.104236111111
05/04/2011,0.520833333333333,127.754023611111
28/03/2011,0.979166666666667,60.6255826388889
10/04/2011,100.0,0.0
02/04/2011,1.02777777777778,125.872971527778
11/04/2011,71.625,44.9725722222222
25/03/2011,5.20138888888889,49.3547020833334
03/04/2011,0.118055555555556,140.844695833333
26/03/2011,7.68055555555556,52.9855347222222
08/04/2011,33.1944444444444,139.146809027778
31/03/2011,0.590277777777778,151.656215972222
09/04/2011,83.0,27.2408326388889
23/03/2011,1.25960061443932,60.2992196620584
01/04/2011,0.743055555555556,147.987961805555
